document_id,document_path,document_desc,date_creation,year_creation,fk_unit,fk_document_type,fk_period,fk_organization
73,2021/Aquilion_LB/Сервисное_обслуживание/2021-05-12.pdf,"",2021-05-12,2021,2,1,4,5
74,2021/Aquilion_LB/Сервисное_обслуживание/2021-02-26.pdf,"",2021-02-26,2021,2,1,5,5
75,2021/Aquilion_LB/Ремонт/2021-01-14.pdf,"",2021-01-14,2021,2,2,1,5
76,2021/Aquilion_LB/Ремонт/2021-01-11.pdf,"",2021-01-11,2021,2,2,1,5
77,2022/Aquilion_LB/Сервисное_обслуживание/2022-11-17.pdf,"",2022-11-17,2022,2,1,6,5
78,2022/Aquilion_LB/Сервисное_обслуживание/2022-08-17.pdf,"",2022-08-17,2022,2,1,5,5
80,2022/Aquilion_LB/Дефектный_акт/2022-05-17.pdf,"",2022-05-17,2022,2,6,1,5
82,2022/Aquilion_LB/Дефектный_акт/2022-08-22.pdf,"",2022-08-22,2022,2,6,1,5
84,2023/Aquilion_LB/Сервисное_обслуживание/2023-11-02.pdf,"",2023-11-02,2023,2,1,6,5
85,2023/Aquilion_LB/Сервисное_обслуживание/2023-08-02.pdf,"",2023-08-02,2023,2,1,5,5
87,2023/Aquilion_LB/Ремонт/2023-02-08.pdf,"",2023-02-08,2023,2,2,1,5
89,2023/Aquilion_LB/Дефектный_акт/2023-04-20.pdf,"",2023-04-20,2023,2,6,1,5
92,2024/Aquilion_LB/Сервисное_обслуживание/2024-08-08.pdf,"",2024-08-08,2024,2,1,5,5
79,2022/Aquilion_LB/Сервисное_обслуживание/2022-05-17.pdf,"",2022-05-17,2022,2,1,4,5
81,2022/Aquilion_LB/Сервисное_обслуживание/2022-02-17.pdf,"",2022-02-17,2022,2,1,5,5
83,2022/Aquilion_LB/Дефектный_акт/2022-08-17.pdf,"",2022-08-17,2022,2,6,1,5
86,2023/Aquilion_LB/Сервисное_обслуживание/2023-05-02.pdf,"",2023-05-02,2023,2,1,4,5
88,2023/Aquilion_LB/Сервисное_обслуживание/2023-02-08.pdf,"",2023-02-08,2023,2,1,5,5
90,2023/Aquilion_LB/Дефектный_акт/2023-04-26.pdf,"",2023-04-26,2023,2,6,1,5
91,2024/Aquilion_LB/Сервисное_обслуживание/2024-11-06.pdf,"",2024-11-06,2024,2,1,6,5
93,2024/Aquilion_LB/Дефектный_акт/2024-05-16.pdf,"",2024-05-16,2024,2,6,1,5
94,2024/Aquilion_LB/Сервисное_обслуживание/2024-05-16.pdf,"",2024-05-16,2024,2,1,4,5
96,2024/Aquilion_LB/Сервисное_обслуживание/2024-02-26.pdf,"",2024-02-26,2024,2,1,5,5
97,2025/Aquilion_LB/Сервисное_обслуживание/2025-02-12.pdf,"",2025-02-12,2025,2,1,5,5
98,2024/Aquilion_LB/Дефектный_акт/2024-05-16(1).pdf,"",2024-05-16,2024,2,6,1,5
99,2022/Aquilion_LB/КТХ/2022-12-13.pdf,"",2022-12-13,2022,2,3,6,6
100,2023/Aquilion_LB/КТХ/2023-12-08.pdf,"",2023-12-08,2023,2,3,6,6
101,2023/VitalBeam_1/Ремонт/2023-12-18.pdf,"",2023-12-18,2023,1,2,1,2
102,2023/VitalBeam_1/Сервисное_обслуживание/2023-12-07.pdf,"",2023-12-07,2023,1,1,5,2
103,2023/VitalBeam_1/Ремонт/2023-03-15.pdf,"",2023-03-15,2023,1,2,1,2
104,2023/VitalBeam_1/Ремонт/2023-10-11.pdf,"",2023-10-11,2023,1,2,1,2
107,2024/VitalBeam_1/Ремонт/2024-04-12.pdf,"",2024-04-12,2024,1,2,1,2
110,2023/VitalBeam_1/Акт_ввода/2023-02-24.pdf,"",2023-02-24,2023,1,7,1,2
111,2024/VitalBeam_1/Сервисное_обслуживание/2024-09-17.pdf,"",2024-09-17,2024,1,1,5,2
112,2024/VitalBeam_1/Сервисное_обслуживание/2024-12-16.pdf,"",2024-12-16,2024,1,1,6,2
113,2024/VitalBeam_1/Сервисное_обслуживание/2024-06-21.pdf,"",2024-06-21,2024,1,1,4,2
114,2024/VitalBeam_1/Сервисное_обслуживание/2024-03-20.pdf,"",2024-03-20,2024,1,1,5,2
115,2025/VitalBeam_1/Ремонт/2025-02-12.pdf,"",2025-02-12,2025,1,2,1,2
116,2024/VitalBeam_1/КТХ/2024-12-27.pdf,"",2024-12-27,2024,1,3,6,1
117,2024/VitalBeam_1/КТХ/2024-12-27(1).pdf,"",2024-12-27,2024,1,3,5,1
118,2024/VitalBeam_1/КТХ/2024-06-03.pdf,"",2024-06-03,2024,1,3,5,1
119,2023/VitalBeam_1/КТХ/2023-10-09.pdf,"",2023-10-09,2023,1,3,6,1
120,2023/VitalBeam_1/КТХ/2023-04-12.pdf,"",2023-04-12,2023,1,3,5,1
122,2025/VitalBeam_1/Ремонт/2025-02-10.pdf,"",2025-02-10,2025,1,2,1,2
131,2025/VitalBeam_1/Ремонт/2025-02-10(1).pdf,"",2025-02-10,2025,1,2,1,2
132,2025/VitalBeam_1/Ремонт/2025-02-10(1)(1).pdf,"",2025-02-10,2025,1,2,1,2
133,2022/VitalBeam_2/Акт_ввода/2022-02-24.pdf,"",2022-02-24,2022,9,7,1,2
134,2022/VitalBeam_2/Акт_ввода/2022-02-24(1).pdf,"",2022-02-24,2022,9,7,1,2
